10.651975,0.002215
21.152916,0.013161
31.840399,0.036925
40.102516,0.065632
50.798832,0.107285
61.104225,0.153265
71.622833,0.197957
82.159218,0.244895
90.510101,0.2911
100.868698,0.355672
111.262703,0.438881
121.940865,0.537924
130.087158,0.616819
140.463196,0.722848
150.848007,0.838404
161.188248,0.966682
171.37738,1.100713
181.735184,1.24456
190.023193,1.360682
200.292191,1.501677
210.57016,1.636142
220.919281,1.766356
231.277267,1.896563
241.43103,2.017284
250.021332,2.117462
260.192932,2.231244
270.577881,2.332835
281.042877,2.429277
291.436768,2.5272
299.991669,2.611261
310.296661,2.715376
321.161194,2.834015
331.377258,2.942738
341.904297,3.05164
350.290375,3.136236
360.755157,3.249986
371.361877,3.380633
381.657471,3.522859
390.282837,3.654629
400.436035,3.814047
410.997864,3.982575
421.275635,4.133055
431.686615,4.284401
440.196533,4.414601
450.394135,4.577111
460.946869,4.756274
471.117737,4.92313
481.679535,5.091241
492.028229,5.249485
500.369354,5.376933
510.966827,5.538317
521.368774,5.698523
532.037109,5.869261
540.34259,6.005909
550.966553,6.176135
561.306458,6.329396
571.930725,6.472811
580.405457,6.578306
590.870056,6.705802
601.352295,6.840817
611.683411,6.986948
620.17572,7.108459
630.364685,7.253049
640.935791,7.394504
651.347046,7.527875
661.642822,7.65702
671.965271,7.790609
680.200073,7.896204
690.602539,8.021091
700.809692,8.130894
711.203552,8.229858
721.606323,8.320102
731.947083,8.400086
740.075745,8.456405
750.603149,8.518727
761.175049,8.567606
771.445007,8.602079
781.963684,8.617517
790.172546,8.620721
800.851196,8.620978
811.076721,8.620687
821.657593,8.624323
829.999756,8.628383
840.48291,8.633328
850.868286,8.641089
861.235962,8.654304
871.754639,8.680931
879.990112,8.705893
890.517578,8.744113
900.769775,8.777298
911.172974,8.812135
921.505005,8.844617
931.846008,8.877042
940.241394,8.905639
950.422546,8.942824
961.021179,8.984293
971.06897,9.015457
981.569885,9.042436
991.884216,9.068179
1000.128601,9.084119
1010.700684,9.101766
1021.148315,9.11498
1031.764893,9.137439
1041.972534,9.156219
1050.447876,9.168862
1060.744507,9.175735
1071.20105,9.177401
1081.915161,9.172275
1090.239502,9.167727
1100.651611,9.167233
1111.019409,9.181054
1121.57373,9.199647
1131.825928,9.214604
1140.256836,9.223626
1150.624512,9.230389
1160.912231,9.237463
1171.173218,9.242825
1181.363281,9.249542
1191.802124,9.243511
1201.903076,9.224423
1210.307251,9.198779
1220.666016,9.161935
1230.980347,9.125361
1241.339111,9.085471
1251.74231,9.054007
1260.119873,9.025885
1270.514282,8.990892
1280.961914,8.947309
1291.34729,8.897265
1301.803467,8.837003
1310.092163,8.786889
1320.672852,8.723709
1331.182495,8.662329
1341.576538,8.597758
1351.96167,8.538932
1360.321411,8.493438
1370.866699,8.435006
1381.118774,8.378241
1391.690674,8.314427
1402.013672,8.239723
1410.391113,8.168928
1420.642822,8.068007
1430.929932,7.954004
1441.376831,7.830285
1451.60144,7.694613
1460.138062,7.571558
1470.326904,7.411088
1480.710815,7.225412
1491.111938,7.021173
1501.56604,6.796925
1510.092529,6.602068
1520.457153,6.350552
1531.239014,6.080997
1541.585571,5.819779
1549.96936,5.604423
1560.351074,5.324686
1570.901245,5.029645
1581.469116,4.73207
1591.841797,4.451768
1600.314453,4.238404
1610.528076,3.988436
1620.946289,3.746415
1631.222534,3.515373
1641.587891,3.292032
